layer,feature_group,n_features,selected_C,dev_accuracy,test_accuracy
1,EMB,768,1e-10,0.5,0.6666666666666666
1,ATTN,120,1e-10,0.16666666666666666,0.6666666666666666
1,EMB+ATTN,888,0.01,0.3333333333333333,0.6666666666666666
2,EMB,768,1e-10,0.6666666666666666,0.6666666666666666
2,ATTN,120,0.01,0.3333333333333333,0.6666666666666666
2,EMB+ATTN,888,1e-10,0.16666666666666666,0.8333333333333334
3,EMB,768,1e-10,0.6666666666666666,0.5
3,ATTN,120,1e-10,0.16666666666666666,0.5
3,EMB+ATTN,888,1e-10,0.3333333333333333,0.5
4,EMB,768,5e-05,0.6666666666666666,0.3333333333333333
4,ATTN,120,1e-10,0.16666666666666666,0.6666666666666666
4,EMB+ATTN,888,1e-10,0.5,0.5
5,EMB,768,1e-10,0.6666666666666666,0.5
5,ATTN,120,1e-10,0.3333333333333333,1.0
5,EMB+ATTN,888,1e-10,0.5,0.8333333333333334
6,EMB,768,0.05,0.6666666666666666,0.3333333333333333
6,ATTN,120,1e-10,0.16666666666666666,0.5
6,EMB+ATTN,888,1e-10,0.5,0.5
7,EMB,768,1e-10,0.6666666666666666,0.3333333333333333
7,ATTN,120,1e-10,0.3333333333333333,0.6666666666666666
7,EMB+ATTN,888,1e-10,0.5,0.5
8,EMB,768,1e-10,0.6666666666666666,0.0
8,ATTN,120,1e-10,0.16666666666666666,0.8333333333333334
8,EMB+ATTN,888,1e-10,0.3333333333333333,0.8333333333333334
9,EMB,768,0.05,0.6666666666666666,0.3333333333333333
9,ATTN,120,1e-10,0.16666666666666666,0.6666666666666666
9,EMB+ATTN,888,1e-10,0.5,0.5
10,EMB,768,1e-10,0.6666666666666666,0.0
10,ATTN,120,1e-10,0.3333333333333333,0.5
10,EMB+ATTN,888,1e-10,0.6666666666666666,0.5
11,EMB,768,1e-10,0.6666666666666666,0.3333333333333333
11,ATTN,120,1,0.5,0.8333333333333334
11,EMB+ATTN,888,1e-10,0.6666666666666666,0.8333333333333334
12,EMB,768,1e-10,0.5,0.5
12,ATTN,120,1e-10,0.3333333333333333,1.0
12,EMB+ATTN,888,1e-10,0.5,0.8333333333333334
